,PopRank,Affordability(1999-2016)
0,0.0,0.20857334119397883
1,3.0,0.22743978520127672
2,4.0,0.15566115577275239
3,7.0,0.2364297596916841
4,9.0,0.1734111984205073
5,10.0,0.3393614440611829
6,12.0,0.1512626064373895
7,13.5,0.16672858547702982
8,14.0,0.22847880007348778
9,15.0,0.3037289506500305
10,16.0,0.21193318849569223
11,16.833333333333332,0.4327756453982068
12,18.0,0.1604892202425772
13,20.0,0.21100450385482436
14,21.0,0.25202104427638383
15,23.0,0.2815874946832814
16,23.25,0.20931686319791729
17,25.5,0.31993088311019857
18,29.333333333333332,0.17209729917714045
19,30.0,0.23068601958391077
20,35.5,0.1854404132266596
21,37.0,0.3201433312112157
22,37.6,0.1764898981509872
23,38.0,0.21582295162251278
24,39.5,0.2069486654078109
25,41.0,0.1383033774016797
26,42.0,0.16786241011755942
27,43.0,0.22659531580804967
28,48.0,0.15918105658063073
29,49.0,0.23292648646241654
